============================= test session starts =============================
platform win32 -- Python 3.11.9, pytest-9.1.1, pluggy-1.6.0 -- D:\Autonomous Coding Agentic AI\venv\Scripts\python.exe
cachedir: .pytest_cache
rootdir: D:\Autonomous Coding Agentic AI
configfile: pytest.ini
plugins: anyio-4.15.1, langsmith-0.12.1, asyncio-1.4.0
tests\test_config.py::test_default_settings PASSED                       [ 25%]
tests\test_config.py::test_settings_from_env PASSED                      [ 26%]
tests\test_docker_executor.py::test_executor_successful_command PASSED   [ 26%]
tests\test_docker_executor.py::test_executor_failing_command PASSED      [ 27%]
tests\test_docker_executor.py::test_executor_timeout PASSED              [ 27%]
tests\test_docker_executor.py::test_executor_invalid_repo PASSED         [ 28%]
tests\test_execution_api.py::test_api_run_success PASSED                 [ 28%]
tests\test_execution_api.py::test_api_run_service_failure PASSED         [ 29%]
tests\test_execution_models.py::test_execution_request_fields PASSED     [ 30%]
tests\test_execution_models.py::test_execution_result_fields PASSED      [ 30%]
tests\test_execution_security.py::test_execution_blocks_host_directories PASSED [ 31%]
tests\test_execution_security.py::test_execution_network_disabled PASSED [ 31%]
tests\test_firebase_config.py::test_firebase_testing_blocks_init PASSED  [ 32%]
tests\test_firebase_config.py::test_initialize_firebase_idempotent PASSED [ 32%]
tests\test_firebase_config.py::test_missing_credentials_warns_but_initializes PASSED [ 33%]
tests\test_firebase_config.py::test_get_firestore_client PASSED          [ 33%]
tests\test_firebase_config.py::test_explicit_credentials_loaded_correctly PASSED [ 34%]
tests\test_firebase_config.py::test_missing_credential_file_raises_error PASSED [ 34%]
tests\test_firestore_repositories.py::test_project_repo_add PASSED       [ 35%]
tests\test_firestore_repositories.py::test_project_repo_get_exists PASSED [ 36%]
tests\test_firestore_repositories.py::test_project_repo_get_missing PASSED [ 36%]
tests\test_firestore_repositories.py::test_project_repo_list_by_owner PASSED [ 37%]
tests\test_firestore_repositories.py::test_task_repo_add PASSED          [ 37%]
tests\test_firestore_repositories.py::test_task_repo_list_by_owner PASSED [ 38%]
tests\test_firestore_repositories.py::test_agent_run_repo_add PASSED     [ 38%]
tests\test_firestore_repositories.py::test_agent_run_repo_list_by_owner PASSED [ 39%]
tests\test_git_service.py::test_is_git_repository_true PASSED            [ 39%]
tests\test_git_service.py::test_is_git_repository_false PASSED           [ 40%]
tests\test_git_service.py::test_get_current_branch PASSED                [ 40%]
tests\test_git_service.py::test_get_current_branch_not_repo PASSED       [ 41%]
tests\test_git_service.py::test_get_status_returns_git_status PASSED     [ 42%]
tests\test_git_service.py::test_get_status_non_repo PASSED               [ 42%]
tests\test_git_service.py::test_clean_repository PASSED                  [ 43%]
tests\test_git_service.py::test_modified_file_detected PASSED            [ 43%]
tests\test_git_service.py::test_untracked_file_detected PASSED           [ 44%]
tests\test_git_service.py::test_staged_file_detected PASSED              [ 44%]
tests\test_git_service.py::test_working_tree_diff PASSED                 [ 45%]
tests\test_git_service.py::test_working_tree_diff_clean PASSED           [ 45%]
tests\test_git_service.py::test_staged_diff PASSED                       [ 46%]
tests\test_git_service.py::test_staged_diff_empty_when_nothing_staged PASSED [ 46%]
tests\test_git_service.py::test_create_branch PASSED                     [ 47%]
tests\test_git_service.py::test_create_branch_invalid_name_dot_dot PASSED [ 48%]
tests\test_git_service.py::test_create_branch_invalid_name_space PASSED  [ 48%]
tests\test_git_service.py::test_create_branch_invalid_name_empty PASSED  [ 49%]
tests\test_git_service.py::test_create_branch_invalid_name_leading_dash PASSED [ 49%]
tests\test_git_service.py::test_create_branch_invalid_name_shell_chars PASSED [ 50%]
tests\test_git_service.py::test_create_branch_already_exists PASSED      [ 50%]
tests\test_git_service.py::test_checkout_branch_clean PASSED             [ 51%]
tests\test_git_service.py::test_checkout_blocked_when_dirty PASSED       [ 51%]
tests\test_git_service.py::test_stage_valid_file PASSED                  [ 52%]
tests\test_git_service.py::test_stage_path_traversal_blocked PASSED      [ 53%]
tests\test_git_service.py::test_stage_empty_paths_rejected PASSED        [ 53%]
tests\test_git_service.py::test_commit_success PASSED                    [ 54%]
tests\test_git_service.py::test_commit_empty_message_rejected PASSED     [ 54%]
tests\test_git_service.py::test_commit_whitespace_message_rejected PASSED [ 55%]
tests\test_git_service.py::test_commit_no_staged_changes_rejected PASSED [ 55%]
tests\test_git_service.py::test_no_arbitrary_git_command_api PASSED      [ 56%]
tests\test_git_service.py::test_subprocess_shell_true_not_used PASSED    [ 56%]
tests\test_git_service.py::test_invalid_path_nonexistent PASSED          [ 57%]
tests\test_git_service.py::test_invalid_path_empty_string PASSED         [ 57%]
tests\test_git_service.py::test_is_git_repository_nonexistent_path PASSED [ 58%]
tests\test_git_service.py::test_git_error_is_base_for_command_error PASSED [ 59%]
tests\test_git_service.py::test_get_diff_not_repo_raises PASSED          [ 59%]
tests\test_git_service.py::test_stage_files_not_repo_raises PASSED       [ 60%]
tests\test_git_service.py::test_commit_not_repo_raises PASSED            [ 60%]
tests\test_git_tools.py::test_git_status_tool_success PASSED             [ 61%]
tests\test_git_tools.py::test_git_status_tool_non_repo PASSED            [ 61%]
tests\test_git_tools.py::test_git_status_tool_dirty_repo PASSED          [ 62%]
tests\test_git_tools.py::test_git_status_tool_invalid_path PASSED        [ 62%]
tests\test_git_tools.py::test_git_diff_tool_clean_repo PASSED            [ 63%]
tests\test_git_tools.py::test_git_diff_tool_with_changes PASSED          [ 63%]
tests\test_git_tools.py::test_git_diff_tool_staged PASSED                [ 64%]
tests\test_git_tools.py::test_git_diff_tool_non_repo PASSED              [ 65%]
tests\test_git_tools.py::test_git_diff_tool_default_args PASSED          [ 65%]
tests\test_git_tools.py::test_git_branch_tool_success PASSED             [ 66%]
tests\test_git_tools.py::test_git_branch_tool_non_repo PASSED            [ 66%]
tests\test_git_tools.py::test_git_stage_tool_success PASSED              [ 67%]
tests\test_git_tools.py::test_git_stage_tool_path_traversal_blocked PASSED [ 67%]
tests\test_git_tools.py::test_git_stage_tool_empty_paths PASSED          [ 68%]
tests\test_git_tools.py::test_git_stage_tool_non_repo PASSED             [ 68%]
tests\test_git_tools.py::test_git_commit_tool_success PASSED             [ 69%]
tests\test_git_tools.py::test_git_commit_tool_empty_message_rejected PASSED [ 69%]
tests\test_git_tools.py::test_git_commit_tool_no_staged_changes PASSED   [ 70%]
tests\test_git_tools.py::test_git_commit_tool_non_repo PASSED            [ 71%]
tests\test_git_tools.py::test_all_git_tools_register_in_registry PASSED  [ 71%]
tests\test_git_tools.py::test_git_tools_appear_in_list_tools PASSED      [ 72%]
tests\test_git_tools.py::test_git_tools_have_input_schemas PASSED        [ 72%]
tests\test_git_tools.py::test_git_tools_all_return_tool_result PASSED    [ 73%]
tests\test_health.py::test_health_endpoint_returns_200 PASSED            [ 73%]
tests\test_health.py::test_health_endpoint_returns_healthy_status PASSED [ 74%]
tests\test_observability_events.py::test_in_memory_event_storage PASSED  [ 74%]
tests\test_projects.py::test_create_project PASSED                       [ 75%]
tests\test_projects.py::test_get_project PASSED                          [ 75%]
tests\test_projects.py::test_list_projects PASSED                        [ 76%]
tests\test_projects.py::test_get_nonexistent_project PASSED              [ 77%]
tests\test_projects.py::test_create_project_invalid_input PASSED         [ 77%]
tests\test_projects.py::test_create_project_empty_name PASSED            [ 78%]
tests\test_services.py::TestProjectService::test_create_project PASSED   [ 78%]
tests\test_services.py::TestProjectService::test_get_project_exists PASSED [ 79%]
tests\test_services.py::TestProjectService::test_get_project_not_found PASSED [ 79%]
tests\test_services.py::TestProjectService::test_list_projects PASSED    [ 80%]
tests\test_services.py::TestTaskService::test_create_task PASSED         [ 80%]
tests\test_services.py::TestTaskService::test_create_task_nonexistent_project PASSED [ 81%]
tests\test_services.py::TestTaskService::test_get_task_not_found PASSED  [ 81%]
tests\test_services.py::TestAgentRunService::test_create_run PASSED      [ 82%]
tests\test_services.py::TestAgentRunService::test_get_run_not_found PASSED [ 83%]
tests\test_tasks.py::test_create_task PASSED                             [ 83%]
tests\test_tasks.py::test_get_task PASSED                                [ 84%]
tests\test_tasks.py::test_get_nonexistent_task PASSED                    [ 84%]
tests\test_tasks.py::test_create_task_invalid_input PASSED               [ 85%]
tests\test_tasks.py::test_create_task_nonexistent_project PASSED         [ 85%]
tests\test_tools_files.py::test_list_files PASSED                        [ 86%]
tests\test_tools_files.py::test_read_file_success PASSED                 [ 86%]
tests\test_tools_files.py::test_read_file_missing PASSED                 [ 87%]
tests\test_tools_files.py::test_read_file_binary PASSED                  [ 87%]
tests\test_tools_files.py::test_read_file_oversized PASSED               [ 88%]
tests\test_tools_files.py::test_read_file_path_traversal PASSED          [ 89%]
tests\test_tools_files.py::test_read_file_absolute_path_outside PASSED   [ 89%]
tests\test_tools_files.py::test_write_file_new PASSED                    [ 90%]
tests\test_tools_files.py::test_write_file_overwrite PASSED              [ 90%]
tests\test_tools_files.py::test_write_file_traversal PASSED              [ 91%]
tests\test_tools_files.py::test_edit_file_success PASSED                 [ 91%]
tests\test_tools_files.py::test_edit_file_not_found PASSED               [ 92%]
tests\test_tools_files.py::test_edit_file_ambiguous PASSED               [ 92%]
tests\test_tools_files.py::test_edit_file_missing_file PASSED            [ 93%]
tests\test_tools_files.py::test_get_file_info_file PASSED                [ 93%]
tests\test_tools_files.py::test_get_file_info_directory PASSED           [ 94%]
tests\test_tools_files.py::test_get_file_info_missing PASSED             [ 95%]
tests\test_tools_files.py::test_mixed_separator_attack PASSED            [ 95%]
tests\test_tools_registry.py::test_registry_register_and_get PASSED      [ 96%]
tests\test_tools_registry.py::test_registry_get_unknown PASSED           [ 96%]
tests\test_tools_registry.py::test_registry_list_tools PASSED            [ 97%]
tests\test_tools_registry.py::test_tool_execute PASSED                   [ 97%]
tests\test_tools_search.py::test_search_tool_success PASSED              [ 98%]
tests\test_tools_search.py::test_search_tool_not_found PASSED            [ 98%]
tests\test_tools_search.py::test_search_tool_traversal_attack PASSED     [ 99%]
tests\test_tools_search.py::test_search_tool_nonexistent_repo PASSED     [100%]

============================== warnings summary ===============================
..\venv\Lib\site-packages\starlette\testclient.py:53
  D:\Autonomous Coding Agentic AI\venv\Lib\site-packages\starlette\testclient.py:53: DeprecationWarning: The anyio.abc.BlockingPortal alias is deprecated, use anyio.from_thread.BlockingPortal instead.
    _PortalFactoryType = Callable[[], AbstractContextManager[anyio.abc.BlockingPortal]]

-- Docs: https://docs.pytest.org/en/stable/how-to/capture-warnings.html
======================= 183 passed, 1 warning in 26.70s =======================
